"WWTP","Date","copiesperL","flow_rate_value"
"69th Street",2021-03-17,18045.2427223974,80.03
"69th Street",2021-03-18,17889.5278270825,80.03
"69th Street",2021-03-19,17694.2230673718,80.03
"69th Street",2021-03-20,17462.7239210359,80.03
"69th Street",2021-03-21,17198.5466220363,80.03
"69th Street",2021-03-22,16905.2729818331,80.03
"69th Street",2021-01-01,92100.3558154932,80.03
"69th Street",2021-01-02,90458.5429310714,80.03
"69th Street",2021-01-03,88386.829970307,80.03
"69th Street",2021-10-14,24869.6577139531,80.03
"69th Street",2021-10-15,24106.1224359458,80.03
"69th Street",2021-10-16,23356.3657792754,80.03
"69th Street",2021-10-17,22620.9978272231,80.03
"69th Street",2021-10-18,21900.5498178296,80.03
"69th Street",2021-10-19,21195.4791134467,80.03
"69th Street",2020-10-19,12660.56531368,80.03
"69th Street",2020-10-20,12712.9763195052,80.03
"69th Street",2020-10-21,12766.271550179,80.03
"69th Street",2020-10-22,12820.7732136549,80.03
"69th Street",2020-10-23,12877.0469169418,80.03
"69th Street",2020-10-24,12935.8534862244,80.03
"69th Street",2020-10-25,12997.9717290563,80.03
"69th Street",2020-12-09,47498.106620242,80.03
"69th Street",2020-12-10,50124.9241019571,80.03
"69th Street",2020-12-11,52855.2970619917,80.03
"69th Street",2020-12-12,55678.615554461,80.03
"69th Street",2020-12-13,58581.5904131442,80.03
"69th Street",2020-12-14,61548.072690293,80.03
"69th Street",2020-12-15,64558.8890098146,80.03
"69th Street",2020-12-16,67591.7464573995,80.03
"69th Street",2020-12-17,70621.1894595344,80.03
"69th Street",2020-12-18,73618.6531914805,80.03
"69th Street",2021-03-08,17407.8785481838,80.03
"69th Street",2021-03-09,17639.1469386537,80.03
"69th Street",2021-07-08,28965.6072716516,80.03
"69th Street",2021-07-09,30766.4067965335,80.03
"69th Street",2021-07-10,32671.1301732537,80.03
"69th Street",2021-07-11,34679.2573071547,80.03
"69th Street",2021-07-12,36789.0597244667,80.03
"69th Street",2021-07-13,38997.4201978994,80.03
"69th Street",2021-07-14,41299.6497005065,80.03
"69th Street",2021-07-15,43689.3102238444,80.03
"69th Street",2021-07-16,46158.038815351,80.03
"69th Street",2021-07-17,48695.3921969701,80.03
"69th Street",2021-07-18,51288.7090653778,80.03
"69th Street",2021-07-19,53923.0014782726,80.03
"69th Street",2021-07-20,56580.8878550796,80.03
"69th Street",2021-07-21,59242.5696804026,80.03
"69th Street",2021-07-22,61885.8653457717,80.03
"69th Street",2021-07-23,64486.3087141588,80.03
"69th Street",2021-07-24,67017.3186841593,80.03
"69th Street",2021-07-25,69450.4522327526,80.03
"69th Street",2021-07-26,71755.7351184327,80.03
"69th Street",2021-07-27,73902.1167715049,80.03
"69th Street",2021-07-28,75864.1712734332,80.03
"69th Street",2021-03-31,13522.5239103844,80.03
"69th Street",2021-04-01,13119.6436181563,80.03
"69th Street",2021-11-30,13284.1025024049,80.03
"69th Street",2021-12-01,14221.8095336091,80.03
"69th Street",2021-12-02,15320.1891748161,80.03
"69th Street",2021-12-03,16598.1084554404,80.03
"69th Street",2021-12-04,18077.4358070572,80.03
"69th Street",2020-10-26,13064.1987254676,80.03
"69th Street",2020-10-27,13135.3487506488,80.03
"69th Street",2020-10-28,13212.2583747996,80.03
"69th Street",2020-10-29,13295.7884995161,80.03
"69th Street",2020-10-30,13386.8281423106,80.03
"69th Street",2020-10-31,13486.2997450283,80.03
"69th Street",2020-11-01,13595.1632841137,80.03
"69th Street",2020-11-02,13714.4222912948,80.03
"69th Street",2021-03-06,16873.3543884546,80.03
"69th Street",2021-03-07,17151.0355857842,80.03
"69th Street",2021-12-15,57294.8844676934,80.03
"69th Street",2021-12-16,64104.3421929052,80.03
"69th Street",2021-12-17,71667.8173231588,80.03
"69th Street",2021-12-18,80024.8019553933,80.03
"69th Street",2021-12-19,89204.6098343725,80.03
"69th Street",2021-12-20,99222.6514179448,80.03
"69th Street",2021-12-21,110076.28095359,80.03
"69th Street",2021-12-22,121740.375796727,80.03
"69th Street",2021-12-23,134162.782866878,80.03
"69th Street",2021-12-24,147259.926043238,80.03
"69th Street",2020-12-27,93272.8673903381,80.03
"69th Street",2020-12-28,93939.4618745622,80.03
"69th Street",2020-12-29,94175.3641185383,80.03
"69th Street",2020-12-30,93957.3518859468,80.03
"69th Street",2020-12-31,93268.7589553244,80.03
"69th Street",2021-05-02,6285.92214960686,80.03
"69th Street",2021-05-03,6242.54336625999,80.03
"69th Street",2021-05-04,6205.72873871579,80.03
"69th Street",2021-05-05,6175.19801088325,80.03
"69th Street",2021-05-06,6150.69381346504,80.03
"69th Street",2021-05-07,6131.97898813675,80.03
"69th Street",2021-05-08,6118.83550473423,80.03
"69th Street",2021-05-09,6111.06225521288,80.03
"69th Street",2021-05-10,6108.47299202591,80.03
"69th Street",2021-05-11,6110.89565399222,80.03
"69th Street",2021-05-12,6118.17053348947,80.03
"69th Street",2021-05-13,6130.1485395475,80.03
"69th Street",2021-05-14,6146.69081256216,80.03
"69th Street",2021-05-15,6167.66700642196,80.03
"69th Street",2021-05-16,6192.95434022537,80.03
"69th Street",2021-12-05,19783.2385590641,80.03
"69th Street",2021-12-06,21743.9703922211,80.03
"69th Street",2021-12-07,23991.6307146031,80.03
"69th Street",2021-12-08,26561.8743547052,80.03
"69th Street",2021-12-09,29494.0402121169,80.03
"69th Street",2021-12-10,32831.0655355754,80.03
"69th Street",2021-12-11,36619.2485473332,80.03
"69th Street",2021-12-12,40907.8041475815,80.03
"69th Street",2021-12-13,45748.1754517141,80.03
"69th Street",2021-12-14,51193.0279734382,80.03
"69th Street",2021-01-26,23718.7238098857,80.03
"69th Street",2021-01-27,22269.0791069797,80.03
"69th Street",2021-01-28,20946.8922166902,80.03
"69th Street",2021-01-29,19745.3850864833,80.03
"69th Street",2021-01-30,18657.8904176529,80.03
"69th Street",2021-01-31,17677.9816203008,80.03
"69th Street",2021-02-01,16799.574731512,80.03
"69th Street",2021-02-02,16017.0170554778,80.03
"69th Street",2021-02-03,15325.1589636124,80.03
"69th Street",2021-02-04,14719.4173059385,80.03
"69th Street",2021-02-05,14195.8299395431,80.03
"69th Street",2021-02-06,13751.101826787,80.03
"69th Street",2021-02-07,13380.8162860645,80.03
"69th Street",2021-02-08,13077.4764924491,80.03
"69th Street",2021-02-09,12834.2693067276,80.03
"69th Street",2021-02-10,12645.4377505248,80.03
"69th Street",2021-02-11,12506.0965735211,80.03
"69th Street",2021-02-12,12412.0786263262,80.03
"69th Street",2021-02-13,12359.8089577013,80.03
"69th Street",2021-02-14,12346.1951691418,80.03
"69th Street",2021-02-15,12368.5368704214,80.03
"69th Street",2021-02-16,12424.4441453838,80.03
"69th Street",2021-02-17,12511.7693011344,80.03
"69th Street",2021-02-18,12628.5433107267,80.03
"69th Street",2021-02-19,12772.9207629365,80.03
"69th Street",2021-02-20,12943.1283551129,80.03
"69th Street",2021-02-21,13137.4182942332,80.03
"69th Street",2021-02-22,13354.0250950466,80.03
"69th Street",2021-02-23,13591.1250392823,80.03
"69th Street",2021-02-24,13846.7967679863,80.03
"69th Street",2021-02-25,14118.9889401221,80.03
"69th Street",2021-02-26,14405.4851146735,80.03
"69th Street",2021-02-27,14703.8765567088,80.03
"69th Street",2021-02-28,15011.5362050881,80.03
"69th Street",2021-03-01,15325.597240413,80.03
"69th Street",2021-03-02,15642.9377848671,80.03
"69th Street",2021-03-03,15960.1701872729,80.03
"69th Street",2021-03-04,16273.6382605969,80.03
"69th Street",2021-03-05,16579.4232269736,80.03
"69th Street",2022-03-02,5733.11862626691,80.03
"69th Street",2022-03-03,5563.5800099923,80.03
"69th Street",2022-03-04,5424.67080223009,80.03
"69th Street",2022-03-05,5315.17414285181,80.03
"69th Street",2022-03-06,5234.20066185319,80.03
"69th Street",2022-03-07,5180.24306546504,80.03
"69th Street",2022-03-08,5151.4454820401,80.03
"69th Street",2022-03-09,5146.33304350359,80.03
"69th Street",2022-03-10,5163.77211593446,80.03
"69th Street",2022-03-11,5202.9213152561,80.03
"69th Street",2022-03-12,5263.19011869633,80.03
"69th Street",2022-03-13,5344.20461862046,80.03
"69th Street",2022-03-14,5445.77755996275,80.03
"69th Street",2022-03-15,5567.8836067068,80.03
"69th Street",2022-03-16,5710.6350693226,80.03
"69th Street",2022-03-17,5874.26166579859,80.03
"69th Street",2022-03-18,6059.08978512527,80.03
"69th Street",2022-03-19,6265.52284796763,80.03
"69th Street",2022-03-20,6494.02069107598,80.03
"69th Street",2022-03-21,6745.07927070388,80.03
"69th Street",2022-03-22,7019.20728869987,80.03
"69th Street",2022-03-23,7316.90317503569,80.03
"69th Street",2022-03-24,7638.62848475955,80.03
"69th Street",2022-03-25,7984.77914053919,80.03
"69th Street",2022-03-26,8355.65419406821,80.03
"69th Street",2021-07-29,77631.2658916607,80.03
"69th Street",2021-07-30,79196.8755044696,80.03
"69th Street",2021-07-31,80556.7892136185,80.03
"69th Street",2021-08-01,81709.0719896793,80.03
