sample_ID	lineage	proportion	coverage
JT-22-18442.p1552	BA.2.75* Omicron BA.2.75.X	0.5686273132051155	6.4408253352506435
JT-22-18442.p1552	CH.1.1* Omicron CH.1.1.X	0.2303921010400035	6.4408253352506435
JT-22-18442.p1552	Omicron	0.18627446467064118	6.4408253352506435
JT-22-18442.p1552	Other	0.00980391919319165	6.4408253352506435
JT-22-18442.p1552	XBB.2.3* XBB.2.3X	0.004901959596595825	6.4408253352506435
HCWZBL.p1835	BA.2.86* BA.2.86.X	0.8804347801784019	7.86543156205063
HCWZBL.p1835	JN.1.7* JN.1.7.X	0.05434782593693831	7.86543156205063
HCWZBL.p1835	Other	0.04347826074955065	7.86543156205063
HCWZBL.p1835	JN.1.18* JN.1.18.X	0.021739130374775324	7.86543156205063
HDNTA2.p1765	EG.5* Omicron EG.5.X	0.9999999823002678	9.868575059358593
JT-22-17673.p1552	Omicron	0.9999999993494934	8.915493428752969
U2VB8D.p1700	EG.5* Omicron EG.5.X	0.6468153955221908	5.317192254957696
U2VB8D.p1700	XBB* XBB.X	0.346154000730672	5.317192254957696
U2VB8D.p1700	Other	0.007030602125241205	5.317192254957696
JRH5L6.p1623	Other	0.499999999999936	11.29318128615858
JRH5L6.p1623	XBB.2.3* XBB.2.3X	0.499999999999936	11.29318128615858
TC-22-0726.p1552	Omicron	0.9999999649771616	9.356920710296626
HO-22-0719.p1552	Omicron	0.9962959999985052	25.997391566063605
TC-22-0622.p1552	Omicron	0.9999999999997229	7.510952078386784
HO-22-0802.p1552	Omicron	0.9999999888263178	10.343443801625256
T3VUKH.p1616	Omicron	0.9999999813407128	7.510952078386784
HP8C6R.p1834	BA.2.86* BA.2.86.X	0.8586387431681174	6.808681403203692
HP8C6R.p1834	Other	0.06806282720235063	6.808681403203692
HP8C6R.p1834	JN.1.7* JN.1.7.X	0.03664921464741957	6.808681403203692
HP8C6R.p1834	JN.1.18* JN.1.18.X	0.03664921464741957	6.808681403203692
j9p9hf.p1623	Other	0.5936509504216697	21.703508009229843
j9p9hf.p1623	XBB.1.9.1* Omicron XBB.1.9.1.X	0.1897097668922761	21.703508009229843
j9p9hf.p1623	XBB* XBB.X	0.18955930912265626	21.703508009229843
j9p9hf.p1623	XBB.1.5* Omicron XBB.1.5.X	0.027079901303236592	21.703508009229843
HS-22-19913.p1552	Omicron	0.9999999966529654	5.367354446042203
S37GSD.p1834	BA.2.86* BA.2.86.X	0.7027540975625574	7.012674313614019
S37GSD.p1834	KP.3* KP.3.X	0.11870834150986503	7.012674313614019
S37GSD.p1834	Other	0.06837607435743828	7.012674313614019
S37GSD.p1834	KP.2* KP.2.X	0.06077873276216736	7.012674313614019
S37GSD.p1834	JN.1.7* JN.1.7.X	0.02659069558344821	7.012674313614019
S37GSD.p1834	JN.1.18* JN.1.18.X	0.022792024785812753	7.012674313614019
